AUSTRALIA	AUSTRIA	BELGIUM	CANADA	DENMARK	FINLAND	FRANCE	GERMANY	HONG KONG	IRELAND	ISRAEL	ITALY	JAPAN	NETHERLANDS	NEW ZEALAND	NORWAY	PORTUGAL	SINGAPORE	SPAIN	SWEDEN	SWITZERLAND	UNITED KINGDOM	USA	BRAZIL	CHILE	CHINA	COLOMBIA	CZECH REPUBLIC	EGYPT	GREECE	HUNGARY	INDIA	INDONESIA	KOREA	MALAYSIA	MEXICO	PERU	PHILIPPINES	POLAND	RUSSIA	SOUTH AFRICA	TAIWAN	THAILAND	TURKEY	ARGENTINA	JORDAN	MOROCCO	PAKISTAN	BAHRAIN	KUWAIT	OMAN	QATAR	UNITED ARAB EMIRATES	USDCAD
2886.248	6271.368	12372.573	4296.833	11353.734	805.722	5602.677	4190.966	24048.143	631.998	258.629	1369.27	5374.216	10975.941	334.043	7682.146	229.908	5476.029	3577.738	15560.671	7622.302	5624.573	3961.566	3845.782	2717.001	43.987	924.724	616.259	1622.091	1222.583	974.707	345.16	499.238	415.87	333.721	5912.538	735.685	229.471	1133.517	1098.34	640.509	314.866	318.559	1157.502	3251.885	527.777	388.311	357.133	1071.627	969.132	992.808	940.501	873.47	1.1445
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2887.936	6375.533	12417.376	4356.237	11338.846	803.977	5591.591	4190.162	24160.336	630.326	252.998	1384.677	5396.949	10994.181	332.048	7798.292	230.631	5533.203	3570.639	15567.282	7604.236	5606.639	3965.355	3941.804	2744.702	45.155	904.246	622.241	1615.39	1236.361	971.606	353.06	504.689	422.741	335.21	5942.122	755.875	230.362	1169.399	1119.74	648.768	321.576	318.368	1174.99	3307.061	527.97	400.493	358.305	NA	NA	NA	NA	825.892	1.1469
2878.852	6351.025	12378.111	4242.225	11148.094	798.244	5578.022	4184.057	24181.518	623.016	250.492	1377.079	5425.911	11011.69	329.366	7642.626	241.799	5546.385	3561.244	15395.247	7587.32	5549.082	3932.517	3826.009	2715.767	45.504	864.356	616.877	1622.889	1233.088	976.422	356.718	512.701	417.752	333.132	5892.036	724.347	226.231	1171.17	1116.021	641.595	319.74	316.499	1170.863	3198.563	536.311	411.595	363.216	1062.554	966.947	962.834	915.487	826.464	1.1535
2824.068	6289.908	12351.178	4202.21	11166.376	800.431	5532.811	4178.143	24016.896	617.507	249.417	1377.051	5267.31	11040.838	324.559	7593.583	242.98	5487.695	3571.588	15501.806	7587.439	5542.851	3966.695	3794.86	2704.597	44.516	849.905	612.763	1549.373	1239.853	971.041	355.125	495.84	408.553	331.493	5823.68	717.684	221.771	1162.477	1121.924	620.886	313.574	310.967	1145.36	3283.3	533.855	412.236	363.216	1062.554	962.017	947.757	905.9	803.113	1.1494
2851.406	6370.565	12485.349	4219.974	11179.32	808.004	5605.091	4235.986	24079.979	623.852	251.765	1390.992	5308.563	11180.54	324.941	7687.3	242.483	5514.064	3619.088	15677.611	7619.134	5616.797	3960.07	3857.991	2743.96	44.481	892.759	609.867	1507.898	1257.614	992.98	355.608	502.113	412.602	332.968	5855.15	730.098	224.797	1174.086	1141.439	640.617	313.931	312.553	1155.404	3284.337	535.488	417.895	363.216	1062.554	961.852	948.1	906.705	807.153	1.1456
2843.84	6337.052	12405.724	4172.393	11061.786	800.221	5535.615	4198.597	24065.115	621.03	251.786	1373.943	5282.524	11107.855	324.579	7600.552	242.468	5497.981	3597.058	15487.062	7590.754	5591.542	3970.084	3879.575	2750.952	44.727	929.386	602.665	1507.898	1247.378	982.234	357.935	503.858	418.41	332.688	5796.186	707.535	225.544	1155.21	1132.048	640.964	313.757	316.637	1176.781	3274.014	535.526	418.737	369.156	1062.554	961.852	948.1	906.693	807.153	1.1526
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2814.462	6277.853	12398.577	4129.53	11156.739	801.571	5586.117	4234.641	23960.406	622.705	253.899	1382.241	5160.336	11184.6	324.993	7465.191	242.877	5505.167	3621.42	15473.362	7607.609	5611.102	3954.548	3787.883	2724.145	44.546	940.608	604.215	1445.615	1230.474	975.11	359.694	502.734	409.184	334.037	5637.465	695.496	225.518	1141.871	1135.153	621.541	310.965	316.234	1156.909	3182.156	526.234	412.154	375.932	1044.765	963.249	940.124	887.776	758.295	1.1553
2837.325	6183.235	12333.924	4167.9	11129.698	810.794	5573.234	4226.538	24115.387	622.719	250.874	1376.41	5239.196	11191.116	321.167	7314.737	243.118	5540.636	3613.359	15522.772	7569.47	5564.675	3993.814	3854.459	2698.786	45.236	926.762	595.452	1483.628	1217.148	958.527	357.195	491.008	413.063	335.17	5680.755	709.683	223.855	1152.124	1129.268	607.423	313.453	310.435	1141.584	3179.223	518.133	395.339	365.749	1030.646	962.208	938.178	860.11	726.229	1.1531
2833.186	6215.914	12371.192	4148.788	11104.37	824.867	5558.137	4236.469	24118.801	628.47	250.236	1381.256	5199.437	11218.961	320.439	7469.497	244.678	5505.115	3612.485	15610.057	7501.944	5614.744	4008.842	3936.347	2703.775	45.296	932.764	602.382	1437.471	1219.076	965.115	356.879	494.49	403.507	335.407	5752.243	697.111	223.712	1166.343	1135.421	616.4	311.843	308.586	1149.123	3140.45	511.666	400.383	377.919	1006.619	952.914	927.09	829.903	729.217	1.1565
2807.834	6321.232	12407.303	4176.539	11159.729	830.336	5587.936	4249.735	24169.352	632.997	252.114	1389.152	5223.556	11253.031	313.479	7530.66	245.241	5500.032	3631.283	15634.88	7588.266	5622.598	4039.152	4075.279	2701.368	44.77	932.392	606.284	1366.933	1231.638	960.439	356.793	494.291	407.163	335.999	5838.233	695.485	223.484	1146.466	1141.628	614.627	316.436	312.572	1190.487	3219.288	516.718	401.71	371.782	1010.247	952.751	931.378	865.692	788.297	1.1574
2797.797	6362.218	12476.554	4227.383	11224.881	833.825	5632.769	4270.158	24139.34	638.076	252.314	1399.328	5122.456	11331.388	316.698	7692.338	246.301	5496.842	3655.096	15687.231	7594.474	5654.214	4032.122	4111.768	2733.068	45.002	939.778	615.56	1365.148	1239.732	1015.088	350.721	497.016	415.038	335.338	5873.743	713.443	226.111	1194.757	1180.534	640.761	315.846	315.789	1219.328	3259.313	516.791	405.933	378.686	1010.113	952.751	931.378	865.692	788.286	1.1504
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2841.901	6465.362	12552.519	4275.724	11266.861	839.415	5622.994	4280.007	24350.756	643.304	251.764	1409.304	5038.414	11378.309	321.79	7825.284	246.595	5509.523	3675.371	15785.157	7660.89	5682.328	4032.122	4119.64	2727.556	45.819	952.287	623.277	1423.169	1252.433	1025.977	354.01	500.38	421.733	335.546	5887.659	713.158	223.72	1211.33	1213.084	642.262	316.874	314.841	1235.091	3329.363	493.109	413.39	387.629	1017.912	922.466	963.849	830.659	828.556	1.1479
2859.728	6457.562	12598.087	4267.326	11283.057	843.368	5612.624	4267.082	24334.182	641.399	249.646	1407.89	5132.68	11313.088	316.525	7846.694	246.978	5530.188	3694.939	15790.951	7693.116	5670.219	4019.078	4097.368	2769.812	46.101	954.216	622.074	1384.521	1258.154	1029.042	356.229	492.991	420.24	335.274	5873.31	726.374	224.094	1199.803	1198.974	643.189	313.185	308.752	1236.011	3399.362	470.254	415.994	389.268	1021.647	932.27	975.772	812.901	820.955	1.1467
2853.151	6395.246	12698.53	4249.151	11268.448	842.184	5649.244	4301.8	24283.295	646.457	249.125	1419.153	5131.824	11350.203	318.826	7753.353	247.484	5486.129	3733.42	15863.319	7700.06	5680.593	4049.102	4047.296	2814.535	46.728	975.528	613.09	1385.319	1271.883	1015.052	356.012	485.119	415.727	334.825	5923.747	732.715	222.419	1186.647	1217.091	641.009	307.313	309.893	1217.49	3341.929	489.893	419.306	391.052	1029.344	933.57	980.767	828.65	789.889	1.1486
2887.046	6458.412	12745.209	4212.536	11287.445	846.787	5667.827	4314.566	24576.402	653.201	250.97	1420.403	5295.178	11363.341	317.856	7863.591	248.843	5525.604	3743.466	15869.982	7681.247	5682.726	4036.319	4099.751	2852.053	46.816	989.381	621.939	1421.483	1284.097	1020.487	357.162	486.274	424.66	337.092	6036.915	728.761	226.5	1194.277	1218.77	640.143	305.342	311.886	1232.241	3319.041	476.202	419.01	395.731	1023.115	933.57	975.216	818.135	766.616	1.1529
2874.168	6409.197	12657.07	4234.088	11297.682	846.47	5673.345	4306.623	24600.105	650.329	251.231	1418.916	5326.67	11314.486	317.201	7936.161	248.78	5559.139	3740.418	15933.323	7604.148	5683.748	4042.873	4109.394	2869.993	46.396	992.464	625.615	1421.483	1284.821	1029.324	356.098	481.114	427.263	336.029	6032.396	733.052	221.746	1211.648	1219.966	631.563	309.347	315.687	1241.168	3362.228	475.833	408.758	397.528	1023.115	933.57	975.216	818.135	766.595	1.1484
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2891.085	6428.712	12694.909	4237.4	11342.582	846.031	5679.523	4336.451	24732.23	651.033	256.586	1422.363	5413.274	11379.14	315.973	7922.696	249.303	5626.775	3748.685	15944.287	7622.929	5683.524	4059.003	4107.472	2896.467	46.379	971.521	632.94	1436.189	1272.749	1049.739	358.825	493.768	429.573	337.342	5975.174	720.783	223.732	1222.56	1259.709	627.754	311.138	323.945	1270.544	3368.399	459.007	410.252	388.131	1059.632	927.666	941.048	778.639	782.578	1.1408
2907.756	6329.313	12585.299	4243.663	11250.307	838.892	5624.985	4273.568	24613.816	649.665	254.515	1406.846	5434.523	11231.301	320.663	7843.615	247.869	5655.396	3738.092	15698.062	7579.495	5641.919	4017.045	4112.088	2869.705	45.919	980.853	617.774	1443.563	1285.212	1011.814	361.422	495.799	426.166	338.208	5925.12	713.39	229.363	1181.096	1196.879	609.315	311.138	319.438	1248.86	3318.94	462.319	410.325	399.827	1049.886	927.439	943.108	779.56	766.873	1.1369
2871.84	6322.3	12671.435	4290.554	11348.603	841.415	5695.807	4326.048	24609.146	650.818	257.777	1413.057	5345.023	11292.428	320.652	7977.556	249.518	5667.464	3790.862	15879.564	7666.265	5702.294	4051.272	4163.871	2844.401	45.753	998.307	625.315	1448.268	1262.155	1022.505	367.434	501.087	426.166	336.705	6033.539	725.061	232.771	1202.29	1202.053	608.456	314.358	322.439	1268.775	3419.647	442.366	409.907	399.851	1040.179	921.952	953.849	777.737	759.298	1.135
2913.689	6296.612	12629.762	4352.926	11417.068	848.17	5672.436	4285.992	24728.027	650.615	259.667	1400.706	5331.608	11244.098	322.339	8013.362	249.737	5667.823	3769.547	15927.296	7653.975	5667.666	4045.732	4182.506	2829.936	46.021	988.99	621.353	1418.372	1243.101	1026.185	369.28	506.094	426.321	336.92	6011.963	732.472	233.941	1214.888	1224.159	621.561	316.263	327.383	1257.495	3606.695	440.551	411.464	394.275	1043.36	921.952	944.241	778.32	763.924	1.1316
2898.439	6341.123	12555.395	4363.314	11492.435	846.31	5663.94	4253.426	24672.578	645.471	259.463	1407.487	5250.374	11212.739	321.81	8144.53	250.207	5664.147	3755.397	16072.701	7699.951	5710.821	4039.836	4186.51	2835.184	46.216	978.062	626.873	1418.372	1234.387	1027.076	369.28	512.134	413.404	336.331	5996.855	742.607	232.78	1201.938	1244.64	607.678	310.699	325.612	1237.603	3671.899	440.613	416.392	394.682	1043.36	922.11	944.241	778.32	763.924	1.1344
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2899.277	6390.526	12631.871	4318.159	11527.091	853.952	5684.574	4277.749	24632.791	650.436	256.736	1421.396	5251.065	11307.863	320.853	8115.539	253.695	5689.06	3758.252	16154.488	7712.555	5747.752	4011.533	4087.001	2823.333	46.247	945.437	626.72	1380.618	1234.181	1017.492	380.361	511.671	416.093	334.32	5930.332	694.35	235.036	1207.535	1232.279	605.466	310.729	325.647	1220.542	3615.706	404.325	418.196	377.136	1031.387	887.456	940.331	795.014	730.127	1.139
2854.03	6212.21	12357.889	4262.652	11317.791	850.42	5602.906	4219.482	24274.443	641.242	252.579	1402.662	5211.396	11124.137	319.363	7973.204	250.095	5622.218	3703.571	15835.865	7582.133	5661.304	4002.725	3872.868	2756.684	45.03	913.521	605.597	1361.949	1193.168	983.296	379.991	500.368	405.861	334.451	5740.358	677.828	231.471	1155.448	1159.54	576.385	305.898	318.071	1149.835	3506.075	423.161	418.543	384.912	1036.449	877.454	935.213	828.644	716.429	1.1502
2847.127	6110.541	12302.454	4206.202	11303.909	864.681	5591.392	4181.617	24141.117	639.276	252.176	1400.778	5170.61	11040.78	318.747	7872.361	250.593	5644.218	3694.705	15732.422	7572.063	5638.465	4010.009	3838.871	2747.342	44.035	929.396	596.278	1340.86	1193.285	948.761	371.427	491.817	402.199	334.024	5676.574	670.757	227.104	1115.19	1153.151	576.495	303.199	307.329	1094.991	3510.862	444.366	411.89	367.297	1033.51	860.614	940.003	838.131	725.775	1.1562
2866.277	6161.672	12365.849	4198.07	11376.621	879.638	5634.659	4224.401	24180.703	648.813	252.038	1414	5288.849	11140.651	319.454	7888.32	251.42	5659.114	3717.346	15923.695	7576.051	5687.6	3989.3	3752.876	2736.047	43.998	943.349	602.348	1342.072	1220.707	956.213	372.975	495.224	400.512	337.206	5682.341	687.879	229.064	1121.714	1133.092	592.74	305.083	310.819	1101.059	3470.888	464.331	411.452	373.669	1028.63	860.614	944.47	847.16	713.359	1.16
2844.317	6146.345	12457.52	4215.558	11404.534	878.61	5681.601	4261.475	24139.822	649.197	252.033	1419.807	5239.297	11192.355	316.928	7886.22	251.955	5645.471	3729.315	15936.751	7637.349	5697.339	4017.003	3812.683	2738.554	43.843	947.125	597.149	1342.072	1220.947	929.057	381.765	503.849	404.107	337.634	5706.244	699.009	228.885	1104.839	1122.594	588.993	305.573	310.423	1089.91	3522.074	464.102	410.188	362.197	1028.494	860.614	944.47	847.02	713.32	1.1605
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2888.809	6231.377	12600.454	4237.825	11545.865	887.115	5748.665	4315.69	24310.197	658.296	254.387	1435.098	5321.325	11304.995	320.209	7975.277	256.72	5688	3767.592	16061.703	7725.496	5759.198	4025.968	3880.59	2764.872	44.401	947.148	607.022	1289.236	1245.115	927.971	382.968	501.081	410.527	337.889	5796.854	686.958	231.362	1099.771	1162.458	598.899	307.918	312.71	1143.372	3552.853	461.122	405.319	347.057	1015.87	852.034	936.683	848.121	685.831	1.1578
2891.68	6238.973	12692.274	4288.448	11666.84	901.898	5799.321	4358.425	24252.713	659.716	254.926	1451.165	5362.885	11431.261	325.295	8065.703	260.714	5691.917	3796.321	16249.058	7799.437	5811.591	4068.632	3977.583	2787.709	44.526	948.399	605.74	1221.413	1235.785	920.199	381.786	505.256	408.786	338.397	5867.494	682.927	231.402	1094.845	1138.063	615.616	304.086	315.147	1105.195	3638.365	444.919	399.179	360.476	996.283	816.116	920.518	829.966	639.527	1.1574
2908.471	6348.906	12725.65	4327.234	11834.611	900.216	5821.007	4385.233	24558.105	666.563	255.729	1457.221	5365.61	11512.404	327.065	8099.02	266.253	5698.733	3800.576	16378.706	7784.433	5828.654	4086.779	4048.013	2816.894	45.252	959.282	612.653	1303.492	1238.477	922.744	382.302	507.027	412.273	339.329	5941.512	689.721	233.071	1127.892	1160.483	633.238	307.627	317.389	1121.01	3686.925	443.366	396.044	356.37	967.866	806.778	901.063	790.87	639.724	1.1546
2913.455	6433.815	12831.504	4342.231	11932.839	912.996	5877.018	4428.316	24634.094	670.185	258.625	1473.157	5317.617	11623.646	321.857	8237.289	267.235	5694.651	3840.144	16690.936	7839.217	5890.382	4092.567	4083.255	2836.079	45.382	968.226	629.154	1313.01	1269.372	965.14	387.36	520.687	413.674	339.489	6019.155	699.599	235.138	1176.996	1162.703	631.793	306.387	318.384	1154.464	3690.273	453.106	407.226	366.14	953.38	806.778	910.651	813.093	671.393	1.1524
2885.678	6510.495	12939.162	4284.108	11923.089	916.103	5901.172	4426.456	24755.996	678.653	260.333	1469.481	5422.991	11642.942	319.042	8375.513	267.284	5695.149	3847.494	16820.877	7869.831	5889.469	4099.902	4031.055	2838.681	45.673	980.634	629.627	1313.01	1287.292	992.907	387.316	539.993	416.911	339.57	6043.628	701.043	237.204	1180.113	1193.989	635.896	307.296	318.328	1170.836	3651.084	452.978	407.762	372.702	953.127	806.778	910.651	812.847	671.393	1.1586
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2879.724	6463.494	12960.524	4244.203	12068.816	923.474	5904.164	4442.697	24855.822	681.367	261.744	1474.427	5496.491	11737.742	313.342	8413.534	267.607	5741.462	3862.642	16988.852	7896.082	5886.822	4093.559	4027.269	2819.307	46.164	980.047	640.888	1347.468	1292.72	981.972	390.767	552.788	420.122	340.543	6085.357	682.97	238.892	1168.365	1193.413	636.961	306.199	317.199	1157.278	3645.575	445.737	408.755	376.046	966.071	866.663	917.202	811.349	700.963	1.161
2849.853	6416.586	12841.295	4252.318	11984.367	920.699	5873.507	4418.807	24876.424	675.327	260.346	1468.364	5460.801	11699.73	310.126	8242.208	266.194	5671.534	3838.405	16868.182	7822.793	5859.428	4068.245	3913.34	2790.775	46.505	973.695	630.894	1337.141	1280.439	962.647	387.606	550.528	416.37	341.343	6053.709	673.554	241.896	1144.951	1173.867	627.654	303.183	314.259	1145.181	3612.458	444.294	404.922	377.6	963.3	844.936	911.77	818.618	717.661	1.1645
2875.277	6453.695	12907.19	4256.437	12048.366	913.058	5924.188	4429.801	24602.271	670.083	261.329	1465.41	5455.219	11740.245	315.509	8351.191	267.068	5667.85	3843.844	16916.23	7828.883	5885.509	4091.77	3943.761	2801.577	45.843	968.493	629.338	1354.1	1270.418	945.236	384.818	537.575	405.778	340.986	6029.323	679.343	241.702	1135.201	1185.891	628.207	298.623	308.898	1144.515	3609.492	444.722	408.151	382.576	964.639	852.894	914.227	825.716	716.128	1.1666
2867.612	6419.768	12798.792	4264.295	11902.83	901.867	5871.088	4399.717	24782.035	667.471	260.554	1440.614	5395.33	11694.139	314.895	8391.184	264.57	5671.506	3795.459	16932.971	7707.918	5828.448	4082.818	3926.238	2809.131	46.457	974.083	627.196	1363.375	1258.254	943.478	383.933	540.94	406.739	342.071	5944.166	671.42	242.645	1148.6	1207.317	638.69	297.342	311.978	1146.431	3590.113	440.736	413.051	381.876	946.234	852.894	917.437	813.447	715.821	1.1648
